"Neighbourhood","Ward","City","FID"
"Fredericton South","7","Fredericton","1"
"Fredericton South","7","Fredericton","2"
"Fredericton South","12","Fredericton","3"
"Fredericton South","12","Fredericton","4"
"Fredericton South","7","Fredericton","5"
"Fredericton South","7","Fredericton","6"
"Fredericton South","7","Fredericton","7"
"Fredericton South","11","Fredericton","8"
"Fredericton South","7","Fredericton","9"
"Fredericton South","11","Fredericton","10"
"Fredericton South","7","Fredericton","11"
"Fredericton South","12","Fredericton","12"
"Fredericton South","11","Fredericton","13"
"Fredericton South","11","Fredericton","14"
"Fredericton South","12","Fredericton","15"
"Fredericton South","11","Fredericton","16"
"Fredericton South","11","Fredericton","17"
"Fredericton South","11","Fredericton","18"
"Fredericton South","7","Fredericton","19"
"Fredericton South","7","Fredericton","20"
"Fredericton South","7","Fredericton","21"
"Fredericton South","12","Fredericton","22"
"Fredericton South","12","Fredericton","23"
"Fredericton South","7","Fredericton","24"
"Fredericton South","7","Fredericton","25"
"Fredericton South","7","Fredericton","26"
"Fredericton South","11","Fredericton","27"
"Fredericton South","11","Fredericton","28"
"Fredericton South","12","Fredericton","29"
"Fredericton South","12","Fredericton","30"
"Fredericton South","7","Fredericton","31"
"Fredericton South","7","Fredericton","32"
"Fredericton South","11","Fredericton","33"
"Fredericton South","11","Fredericton","34"
"Fredericton South","11","Fredericton","35"
"Fredericton South","11","Fredericton","36"
"Fredericton South","12","Fredericton","37"
"Fredericton South","12","Fredericton","38"
"Fredericton South","7","Fredericton","39"
"Fredericton South","12","Fredericton","40"
"Fredericton South","11","Fredericton","41"
"Fredericton South","7","Fredericton","42"
"Fredericton South","11","Fredericton","43"
"Fredericton South","11","Fredericton","44"
"Fredericton South","11","Fredericton","45"
"Fredericton South","11","Fredericton","46"
"Fredericton South","11","Fredericton","47"
"Fredericton South","11","Fredericton","48"
"Fredericton South","12","Fredericton","49"
"Fredericton South","11","Fredericton","50"
"Barkers Point","6","Fredericton","51"
"Barkers Point","6","Fredericton","52"
"Barkers Point","6","Fredericton","53"
"Barkers Point","6","Fredericton","54"
"Barkers Point","6","Fredericton","55"
"Barkers Point","6","Fredericton","56"
"Barkers Point","6","Fredericton","57"
"Barkers Point","6","Fredericton","58"
"Barkers Point","6","Fredericton","59"
"Barkers Point","6","Fredericton","60"
"Barkers Point","6","Fredericton","61"
"Barkers Point","6","Fredericton","62"
"Barkers Point","6","Fredericton","63"
